"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-rbbb40-0 4","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hez2tp-0 12","sc-1hp8d8a-0","sc-1q7bklc-1","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-1hez2tp-0 14","sc-s1isp7-5 src 13","sc-s1isp7-5 src 14","sc-s1isp7-5 src 15","sc-1hez2tp-0 15","sc-1hez2tp-0 16","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 17","sc-1hez2tp-0 18","sc-s1isp7-5 src 16","sc-1hez2tp-0 19","sc-s1isp7-5 src 17","sc-1hez2tp-0 20","sc-s1isp7-5 src 18","sc-1hez2tp-0 21","sc-s1isp7-5 src 19","sc-s1isp7-5 src 20","sc-s1isp7-5 src 21","sc-jGFFOr href","sc-jGFFOr href 2","sc-jGFFOr href 3"
"star-fill","","star-fill","50% OFF up to 100","39 min","star-fill","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","","North Indian","","₹150 for one","","1050+ orders placed from here recently","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","30 min","","Fast Food, North Indian, Street Food, Tea, Beverages","","₹150 for one","","125+ orders placed from here recently","Full on Punjab","4.0","Chai Pe Charcha","","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","27 min","The Dough Therapy","3.7","Pizza, Italian, Fast Food, Desserts","₹150 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","950+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","950+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/full-on-punjab-kandivali-west/order","https://www.zomato.com/mumbai/chai-pe-charcha-kandivali-west/order","https://www.zomato.com/mumbai/the-dough-therapy-borivali-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","29 min","","https://b.zmtcdn.com/data/pictures/chains/6/18435646/9d10a012131d97553a55c1587586ce7f_o2_featured_v2.jpg","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","Sandwich, Pizza, Fast Food","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","4600+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","4600+ orders placed from here recently","https://b.zmtcdn.com/data/pictures/chains/1/18674221/e7df72263ca8843471a9fd427f47a614_o2_featured_v2.jpg","50% OFF up to 100","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","32 min","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","Fast Food, Burger, Tea, Coffee, Sandwich, Pizza, Beverages","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","₹150 for one","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","550+ orders placed from here recently","Akkad Bakkad Bombay Boo - AB3","4.0","Chai Sutta Bar","4.1","Follows all Max Safety measures to ensure your food is safe","550+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/pictures/chains/2/19559922/f67ddcc966a0c064717fb28213ba8ee6_o2_featured_v2.jpg","50% OFF up to 100","26 min","The Fresh Press","4.1","Juices, Shake, Beverages","₹150 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","2275+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","Follows all Max Safety measures to ensure your food is safe","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","2275+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/akkad-bakkad-bombay-boo-ab3-1-kandivali-west/order","https://www.zomato.com/mumbai/chai-sutta-bar-1-kandivali-west/order","https://www.zomato.com/mumbai/the-fresh-press-1-kandivali-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","33 min","","https://b.zmtcdn.com/data/pictures/9/19944269/6ca11b9966d15eab5387038211698c89_o2_featured_v2.jpg","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","North Indian, Street Food","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","1150+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","1150+ orders placed from here recently","","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","25 min","","Street Food","","₹150 for one","","850+ orders placed from here recently","Amritsari Kulcha Junction","3.6","Bhaskar's Puranpoli Ghar","3.9","","","","","https://b.zmtcdn.com/data/pictures/4/20241574/be3a5ddfa10b8836c03286d694b4a259_o2_featured_v2.jpg","50% OFF up to 100","29 min","The Waffle Co.","4.4","Desserts, Ice Cream, Beverages, Waffle","₹150 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","1525+ orders placed from here recently","","","","","","","","https://www.zomato.com/mumbai/amritsari-kulcha-junction-kandivali-west/order","https://www.zomato.com/mumbai/bhaskars-puranpoli-ghar-kandivali-west/order","https://www.zomato.com/mumbai/the-waffle-co-kandivali-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","19 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","","Beverages, Shake","","₹100 for one","","50+ orders placed from here recently","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","","https://www.zomato.com/mumbai/kandivali-west-restaurants","23 min","","Desserts","","₹100 for one","","350+ orders placed from here recently","Chhaswala","4.0","New Kulfi Centre","4.4","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","38 min","Taste Crafters","4.3","Mithai, Desserts, Street Food","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","375+ orders placed from here recently","","","","","","","","https://www.zomato.com/mumbai/chhaswala-kandivali-west/order","https://www.zomato.com/mumbai/new-kulfi-centre-kandivali-west/order","https://www.zomato.com/mumbai/taste-crafters-2-goregaon-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","52 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","","Chinese, North Indian, Fast Food, Street Food, Beverages, Sichuan","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","","1700+ orders placed from here recently","","Restaurant partner follows WHO protocol","","1700+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","52 min","https://www.zomato.com/mumbai/kandivali-west-restaurants","Mithai","","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","800+ orders placed from here recently","Landmark Kitchen","3.9","New Rajasthan Dairy Farm","4.1","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","49 min","Myfroyoland Premium Frozen Yoghurt","4.1","Ice Cream, Desserts","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","1125+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","1125+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/landmark-kitchen-goregaon-east/order","https://www.zomato.com/mumbai/new-rajasthan-dairy-farm-jogeshwari/order","https://www.zomato.com/mumbai/myfroyoland-premium-frozen-yoghurt-andheri-lokhandwala/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","30 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Shawarma, Momos, Fast Food","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","950+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","950+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","","60 min","","Bakery, Desserts","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","","Follows all Max Safety measures to ensure your food is safe","The Shawarma Fellow","3.6","Edesia","4.1","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","60 min","Pizza Rride","4.0","Pizza, Fast Food, Burger","₹100 for one","","","","","","","","","","https://www.zomato.com/mumbai/the-shawarma-fellow-malad-west/order","https://www.zomato.com/mumbai/edesia-goregaon-east/order","https://www.zomato.com/mumbai/pizza-rride-malad-east/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","36 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Continental, Mediterranean, Italian, Oriental, North Indian, Fast Food","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","675+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","675+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","38 min","","North Indian, Chinese, Biryani, South Indian, Sichuan, Fast Food, Street Food, Beverages","","₹100 for one","","175+ orders placed from here recently","Alfredo's","3.7","Sai Sagar","4.2","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","60 min","Courtyard Restaurant & Bar","4.2","North Indian, Chinese, Mughlai, Kebab, Maharashtrian, Sichuan","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","800+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/kandivali-west-restaurants","800+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/alfredos/order","https://www.zomato.com/mumbai/sai-sagar-malad-west/order","https://www.zomato.com/mumbai/courtyard-restaurant-bar-azad-nagar/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","51 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Coffee, Beverages, Burger, Fast Food","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","425+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","425+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","","49 min","","Fast Food, Street Food, Sandwich, Momos, Burger, Tea, Beverages","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹200 for one","","Follows all Max Safety measures to ensure your food is safe","McCafe by McDonald's","4.0","First Bytes Of Home","4.1","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","55 min","Karim’s- Original From Jama Masjid Delhi-6","3.3","North Indian, Biryani, Mughlai, Rolls","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","1800+ orders placed from here recently","","","","","","","","https://www.zomato.com/mumbai/mccafe-by-mcdonalds-2-goregaon-east/order","https://www.zomato.com/mumbai/first-bytes-of-home-dahisar-west/order","https://www.zomato.com/mumbai/karims-original-from-jama-masjid-delhi-6-andheri-lokhandwala/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","48 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","North Indian, Chinese, Biryani, Mughlai, Sichuan","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","325+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","325+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","22 min","https://www.zomato.com/mumbai/kandivali-west-restaurants","Mughlai, North Indian, Chinese, Kebab, Sichuan","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","125+ orders placed from here recently","A Taste Of India","3.9","Shahi Darbar","4.1","Restaurant partner follows WHO protocol","125+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","41 min","Classic Veg Restaurant","3.9","North Indian, South Indian, Chinese, Street Food, Fast Food, Sandwich, Desserts, Beverages","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","575+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","575+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/a-taste-of-india-kandivali-east/order","https://www.zomato.com/mumbai/shahi-darbar-kandivali-west/order","https://www.zomato.com/mumbai/classic-veg-restaurant-1-malad-east/order"
"star-fill","","star-fill","50% OFF up to 100","50 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","","Kashmiri, Mughlai, North Indian, Biryani","","₹200 for one","","50+ orders placed from here recently","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","27 min","","Desserts, Beverages","","₹200 for one","","200+ orders placed from here recently","Poush Essence of Kashmir","3.7","JK Sweets","","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","43 min","Foodgerk - The Diet Parlour","3.5","Healthy Food, Salad, Continental, Shake","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","300+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","300+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/poush-essence-of-kashmir-malad-west/order","https://www.zomato.com/mumbai/jk-sweets-malad-west/order","https://www.zomato.com/mumbai/foodgerk-the-diet-parlour-malad-west/order"
"","star-fill","star-fill","50% OFF up to 100","38 min","star-fill","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Street Food, Sichuan","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","850+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","850+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","63 min","","Fast Food, Salad, Continental, Pizza, Pasta, Desserts, Beverages","","₹200 for one","","750+ orders placed from here recently","Bansi","","Green Village Cafe","4.2","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","42 min","Meltz Treats Madras Se","3.3","South Indian","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","75+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/kandivali-west-restaurants","75+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/bansi-malad-west/order","https://www.zomato.com/mumbai/green-village-cafe-andheri-lokhandwala/order","https://www.zomato.com/mumbai/meltz-treats-madras-se-borivali-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","32 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Ice Cream, Desserts, Mithai, Shake","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","375+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/kandivali-west-restaurants","375+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","64 min","https://www.zomato.com/mumbai/kandivali-west-restaurants","Gujarati, Maharashtrian, Rajasthani","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","125+ orders placed from here recently","Manoj Ice Cream","3.8","Dave's Dal Dhokli","4.4","Follows all Max Safety measures to ensure your food is safe","125+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","53 min","Crust & Buns","3.7","Pizza, Burger, Healthy Food, Fast Food, Beverages, Sichuan","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","50+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","50+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/manoj-ice-cream-malad-west/order","https://www.zomato.com/mumbai/daves-dal-dhokli-2-dahisar-west/order","https://www.zomato.com/mumbai/crust-buns-borivali-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","43 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Cafe, Fast Food, Beverages, Italian, Pasta","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","2000+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","2000+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","52 min","https://www.zomato.com/mumbai/kandivali-west-restaurants","Waffle, Ice Cream, Shake","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","425+ orders placed from here recently","Cafe Meter On","4.0","Snow Waffle","4.2","Follows all Max Safety measures to ensure your food is safe","425+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","32 min","Cafe Zam Zam","4.0","North Indian, Chinese, Mughlai, Biryani, Beverages, Sichuan","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","500+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/kandivali-west-restaurants","500+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/cafe-meter-on-1-borivali-west/order","https://www.zomato.com/mumbai/snow-waffle-jogeshwari/order","https://www.zomato.com/mumbai/cafe-zam-zam-malad-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","60 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Chinese, Fast Food, Rolls, Street Food, North Indian","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","75+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","75+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF","https://www.zomato.com/mumbai/kandivali-west-restaurants","53 min","","North Indian, Biryani","","₹100 for one","","75+ orders placed from here recently","Sam Chinese Corner","4.0","Purani Delhi","4.3","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","30% OFF","61 min","What A Sandwich","4.0","Sandwich, Salad, Wraps, Burger","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","75+ orders placed from here recently","","","","","","","","https://www.zomato.com/mumbai/sam-chinese-corner-malad-east/order","https://www.zomato.com/mumbai/purani-delhi-1-malad-west/order","https://www.zomato.com/mumbai/what-a-sandwich-dahisar-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","35 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","North Indian, Chinese, Biryani, Kebab, Sichuan","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","375+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/kandivali-west-restaurants","375+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","22 min","https://www.zomato.com/mumbai/kandivali-west-restaurants","Ice Cream, Desserts, Beverages","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","600+ orders placed from here recently","Hotel Sagar","3.9","UK14 Ice Cream","4.2","Follows all Max Safety measures to ensure your food is safe","600+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","44 min","Flavours 21","3.9","Chinese, Thai, Fast Food, Shawarma, Asian, Sichuan, Biryani, North Indian","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","1500+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","1500+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/hotel-sagar-marve/order","https://www.zomato.com/mumbai/uk14-ice-cream-kandivali-west/order","https://www.zomato.com/mumbai/flavours-21-malad-east/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","57 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","","South Indian, North Indian, Chinese, Fast Food, Sandwich, Street Food, Beverages, Shake","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹150 for one","","350+ orders placed from here recently","","Restaurant partner follows WHO protocol","","350+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","45 min","https://www.zomato.com/mumbai/kandivali-west-restaurants","Chinese, North Indian, Mughlai, Biryani, Fast Food, Desserts, Sichuan","","₹150 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","150+ orders placed from here recently","Om Sai Sagar Veg Restaurant","3.6","Cafe Armaan","4.1","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","27 min","New Sheetal Dugdhalaya","4.3","Mithai, Shake","₹150 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","125+ orders placed from here recently","","","","","","","","https://www.zomato.com/mumbai/om-sai-sagar-veg-restaurant-goregaon-east/order","https://www.zomato.com/mumbai/cafe-armaan-goregaon-west/order","https://www.zomato.com/mumbai/new-sheetal-dugdhalaya-malad-west/order"
